Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.276: [GC (Allocation Failure) 0.276: [DefNew: 896K->63K(960K), 0.0020065 secs] 1093K->709K(524224K), 0.0021432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.344: [GC (Allocation Failure) 0.344: [DefNew: 959K->63K(960K), 0.0015160 secs] 1939K->1398K(524224K), 0.0015745 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.350: [GC (Allocation Failure) 0.350: [DefNew: 959K->63K(960K), 0.0014201 secs] 2380K->2247K(524224K), 0.0014714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.353: [GC (Allocation Failure) 0.353: [DefNew: 959K->64K(960K), 0.0010183 secs] 3233K->2970K(524224K), 0.0010686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.357: [GC (Allocation Failure) 0.357: [DefNew: 960K->64K(960K), 0.0017709 secs] 3928K->3812K(524224K), 0.0018298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.361: [GC (Allocation Failure) 0.361: [DefNew: 960K->64K(960K), 0.0017935 secs] 4727K->4611K(524224K), 0.0018675 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
0.373: [GC (Allocation Failure) 0.373: [DefNew: 960K->63K(960K), 0.0018924 secs] 5598K->5467K(524224K), 0.0019521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.377: [GC (Allocation Failure) 0.377: [DefNew: 959K->64K(960K), 0.0016266 secs] 6377K->6162K(524224K), 0.0016878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.381: [GC (Allocation Failure) 0.381: [DefNew: 960K->64K(960K), 0.0017931 secs] 7112K->6946K(524224K), 0.0018656 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.386: [GC (Allocation Failure) 0.386: [DefNew: 960K->64K(960K), 0.0022466 secs] 7848K->7676K(524224K), 0.0023399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.394: [GC (Allocation Failure) 0.394: [DefNew: 960K->63K(960K), 0.0024671 secs] 8705K->8588K(524224K), 0.0025366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.398: [GC (Allocation Failure) 0.398: [DefNew: 959K->63K(960K), 0.0016625 secs] 9511K->9262K(524224K), 0.0017271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.402: [GC (Allocation Failure) 0.402: [DefNew: 959K->63K(960K), 0.0021756 secs] 10158K->10072K(524224K), 0.0022360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.406: [GC (Allocation Failure) 0.406: [DefNew: 959K->64K(960K), 0.0021118 secs] 10968K->10898K(524224K), 0.0021805 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.412: [GC (Allocation Failure) 0.412: [DefNew: 960K->64K(960K), 0.0018199 secs] 11804K->11653K(524224K), 0.0018770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.416: [GC (Allocation Failure) 0.416: [DefNew: 960K->64K(960K), 0.0019540 secs] 12554K->12418K(524224K), 0.0020246 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.421: [GC (Allocation Failure) 0.421: [DefNew: 960K->63K(960K), 0.0023202 secs] 13328K->13147K(524224K), 0.0023965 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
